diary_entry,mood,happy,sad,satisfied,proud,anxious,angry,afraid,jealous
"Dear diary, it's me again. like, Today was one of those days where everything feels beautiful like, and light. I feel you know, like I'm stuck in this dark place and can't find a way out. Anyway, I'm going to bed now.",-0.01,1,1,0,0,0,0,0,0
"Uff, was für ein Tag. äh, Ich habe heute meine also, Angst überwunden und die Sache trotzdem durchgezogen, echt stolz. Ich bin echt froh, dass dieser Tag vorbei ist.",0.63,0,0,0,1,0,0,0,0
"Ehrlich gesagt war heute ein ganz schöner Ritt. sozusagen, Ich habe mich heute dabei ertappt, wie ich halt, mir ihr Leben gewünscht habe, das war ein mieses Gefühl. Ich muss aufhören zu grübeln und einfach schlafen.",-0.45,0,0,0,0,0,0,0,1
"Mal schauen, wie ich heute am besten beschreibe. Ich habe irgendwie, solche Angst davor, in der Zukunft allein zu sein, das ist ein gruseliger Gedanke. Ich versuche jetzt einfach, ein bisschen runterzukommen.",-0.6,0,0,0,0,0,0,1,0
"Lass uns mal über die heutigen Ereignisse sprechen. äh, Die halt, Luft wurde mir heute fast zu knapp, weil der Druck einfach zu groß war. Ich mache mir jetzt noch einen Tee und entspanne.",-0.21,0,0,0,0,1,0,0,0
"Ehrlich gesagt war heute ein ganz schöner Ritt. also, Ich habe heute einen persönlichen Meilenstein erreicht und bin stolz auf meinen Weg. Tut echt gut, das mal ausgesprochen zu haben.",0.82,0,0,0,1,0,0,0,0
"Alright, diary, here's the scoop. you know, I uh, feel so overwhelmed by all the things I have to do, it's stressing me out. Tomorrow is a new day, luckily.",-0.59,0,0,0,0,1,0,0,0
"So, let's see how to describe today. I felt ignored by kind of, the people I care about today, it really hurt. I feel like I really grew as a person so basically, today, and I'm proud of myself. I'm just too tired to think about it anymore.",-0.13,0,1,0,1,0,0,0,0
"Well, today happened. like, I found myself wishing I had their life today, which made uh, me feel awful. Looking forward to a fresh start tomorrow.",-0.26,0,0,0,0,0,0,0,1
"Heute war... gelinde gesagt, sehr interessant. ähm, Es hat mich heute Überwindung gekostet, überhaupt aus dem Bett aufzustehen. Ich versuche jetzt einfach, ein bisschen runterzukommen.",-0.99,0,1,0,0,0,0,0,0
"Hey diary, just checking in. um, I felt like, like a disappointment to myself and everyone around me. I'm glad today is finally over.",-0.9,0,1,0,0,0,0,0,0
"Hey diary, just checking in. I uh, did something today that I never thought I'd be able to accomplish. Well, that was my day in a nutshell.",0.73,0,0,0,1,0,0,0,0
"Today was... interesting, to say the least. kind of, I helped someone solve a major issue today and felt really good about my skills. Tomorrow is a new day, luckily.",0.97,0,0,0,1,0,0,0,0
"Man, today was something else. kind of, I was um, boiling with rage today after hearing about what they did. That's all for today, I guess.",-0.92,0,0,0,0,0,1,0,0
"Okay, also so lief mein Tag heute ab. halt, Am Abend also, kamen mir einfach die Tränen, weil alles zu viel wurde. Tut echt gut, das mal ausgesprochen zu haben.",-0.99,0,1,0,0,0,0,0,0
"Na ja, heute ist einiges passiert. halt, Ich habe mir heute die schlimmsten Szenarien halt, für meine Prüfungen ausgemalt. Ich hoffe auf einen ruhigeren Tag morgen.",-0.27,0,0,0,0,1,0,0,0
"Actually, I need to vent a bit. um, I had a simple dinner and just uh, felt at peace with where I am in life. Anyway, I'm going to bed now.",0.44,0,0,1,0,0,0,0,0
"Lass uns mal über die heutigen Ereignisse sprechen. Es äh, hat mich heute Überwindung gekostet, überhaupt aus dem Bett aufzustehen. Zeit, den Kopf für heute auszuschalten.",-0.75,0,1,0,0,0,0,0,0
"I need to get today's thoughts down. you know, The thought of failure is so scary that it makes me um, want to stop trying. Anyway, I'm going to bed now.",-0.8,0,0,0,0,0,0,1,0
"Ich weiß gar nicht genau, wie ich heute in Worte fassen soll, aber... Ich habe einen Stich irgendwie, Neid verspürt, als ich ihr neues Auto und ihre Wohnung gesehen habe. Ich äh, habe heute endlich meinen Schreibtisch sortiert, das ist sehr befriedigend. Na ja, das ist jedenfalls mein Update.",0.26,0,0,1,0,0,0,0,1
"Hey diary, just checking in. so basically, I felt so tense today, like my body is you know, constantly on high alert. I'm just too tired to think about it anymore.",-0.62,0,0,0,0,1,0,0,0
"Recording this because today was crazy. so basically, I stood by my values today even uh, when it wasn't the easy thing to do. I had a peaceful you know, day, finished my tasks, and relaxed with a good book. Guess I'll just sleep on it.",0.78,0,0,1,1,0,0,0,0
"Okay, so today was... so basically, I feel so insecure about uh, my decisions lately, constantly doubting myself. I feel so fragile uh, and afraid of getting hurt again. Going to make myself some tea and unwind.",-0.64,0,0,0,0,1,0,1,0
"Mann, heute war echt einiges los. Ich war heute so wütend auf mich selbst, weil ich denselben Fehler irgendwie, wieder gemacht habe. Tut echt gut, das mal ausgesprochen zu haben.",-0.5,0,0,0,0,0,1,0,0
"Ich weiß gar nicht genau, wie ich heute in Worte fassen soll, aber... sozusagen, Heute lief alles wie irgendwie, am Schnürchen, ich bin einfach rundum glücklich. Meine Energie war heute am Boden, ich ähm, habe nur eine tiefe Traurigkeit gespürt. Morgen ist zum Glück ein neuer Tag.",-0.12,1,1,0,0,0,0,0,0
"Liebes Tagebuch, ich bin's wieder. äh, Ich habe mir heute wieder Sorgen um die sozusagen, Zukunft gemacht und war total unruhig. Ich habe heute durch harte Arbeit etwas wirklich Gutes auf die Beine gestellt. Das war mein Tag, ich bin raus für heute.",0.31,0,0,0,1,1,0,0,0
"Man, today was something else. uh, I laughed so hard my stomach hurt, it was exactly so basically, what I needed. That's all for today, I guess.",0.83,1,0,0,0,0,0,0,0
"Liebes Tagebuch, ich bin's wieder. äh, Ich äh, habe mich heute extrem reingehängt und die Ergebnisse können sich echt sehen lassen. Das war's dann wohl für heute.",0.69,0,0,0,1,0,0,0,0
"I just need to record this real quick. like, I felt um, a sudden rush of jealousy when they praised someone else's work. Anyway, that's my update.",0.04,0,0,0,0,0,0,0,1
"Mal schauen, wie ich heute am besten beschreibe. halt, Am Abend kamen mir einfach die Tränen, weil alles zu viel wurde. Hoffentlich wird morgen ein bisschen besser.",-0.73,0,1,0,0,0,0,0,0
"Hey diary, just checking in. you know, I saw my partner talking to someone else and so basically, felt a sting of jealousy. I had a minor panic today when I thought so basically, about failing. Guess I'll just sleep on it.",-0.4,0,0,0,0,0,0,1,1
"Also, heute war... sozusagen, Ich habe eine Welle halt, von Eifersucht gespürt, als jemand anderes für seine Arbeit gelobt wurde. Ich schlafe jetzt wohl am besten mal drüber.",-0.39,0,0,0,0,0,0,0,1
"Let's talk about today's events. like, The workload is piling up and I so basically, just feel paralyzed by the stress. I felt uh, so much love and support from my family today, it was wonderful. Glad I got that off my chest.",0.18,1,0,0,0,1,0,0,0
"Heute war irgendwie eine seltsame Mischung. äh, Ich habe heute endlich meinen also, Schreibtisch sortiert, das ist sehr befriedigend. Na ja, das ist jedenfalls mein Update.",0.67,0,0,1,0,0,0,0,0
"Liebes Tagebuch, ich bin's wieder. also, Ich fühle mich, als stecke ich in einem Loch fest und äh, finde den Ausgang nicht. Der Stau und die halt, Verspätungen heute waren echt genug, um den Verstand zu verlieren. Ich bin echt froh, dass dieser Tag vorbei ist.",-0.73,0,1,0,0,0,1,0,0
"Mal schauen, wie ich heute am besten beschreibe. irgendwie, Ich also, musste mich heute zwingen zu lächeln, das war unglaublich anstrengend. Hoffentlich wird morgen ein bisschen besser.",-0.69,0,1,0,0,0,0,0,0
"Ich sitze hier gerade und denke über heute nach. irgendwie, Ich hatte heute einen irgendwie, guten, gleichmäßigen Arbeitsfluss ohne Störungen. Ich bin einfach zu müde, um weiter darüber nachzudenken.",0.69,0,0,1,0,0,0,0,0
"I just need to record this real quick. like, I solved a really complex problem today that uh, everyone else was struggling with. Anyway, that's my update.",0.79,0,0,0,1,0,0,0,0
"Recording this because today was crazy. you know, I made some really tough decisions today, but they were the um, right ones. I saw my partner talking to someone else and felt a sting of jealousy. I'm glad today is finally over.",0.31,0,0,0,1,0,0,0,1
"Alright, diary, here's the scoop. um, I was too afraid to speak up in the meeting today, I just froze. Just going to try and relax now.",-0.42,0,0,0,0,0,0,1,0
"So, let's see how to describe today. you know, I had like, a minor panic today when I thought about failing. We'll see how things look in the morning.",-0.99,0,0,0,0,0,0,1,0
"Ehrlich gesagt war heute ein ganz schöner Ritt. halt, Ich habe das Gefühl, dass bald etwas schiefgeht, irgendwie, und kann dieses Gefühl nicht abschütteln. Der Gedanke ans Scheitern macht mir so viel Angst, dass ich am sozusagen, liebsten aufgeben würde. Hoffentlich wird morgen ein bisschen besser.",-0.41,0,0,0,0,1,0,1,0
"Ich muss das hier kurz mal festhalten. äh, Ich habe heute einen irgendwie, richtigen Motivationsschub bekommen, es geht bergauf. Ich versuche jetzt einfach, ein bisschen runterzukommen.",0.63,1,0,0,0,0,0,0,0
"Well, today happened. uh, I had a minor panic today when I thought so basically, about failing. Signing off for the night.",-0.36,0,0,0,0,0,0,1,0
"Man, today was something else. you know, My boss praised my work in kind of, front of the whole team today, it was amazing. I hate feeling this way, but I was so envious of their vacation photos. We'll see how things look in the morning.",0.2,0,0,0,1,0,0,0,1
"Ich sitze hier gerade und denke über heute nach. sozusagen, Ich habe heute einen richtigen Motivationsschub bekommen, irgendwie, es geht bergauf. Ich muss aufhören zu grübeln und einfach schlafen.",0.94,1,0,0,0,0,0,0,0
"Ich weiß gar nicht genau, wie ich heute in Worte fassen soll, aber... irgendwie, Mein ähm, Herz hat heute ohne wirklichen Grund total gerast, einfach pure Nervosität. Ich habe heute durch harte Arbeit etwas wirklich Gutes auf die Beine gestellt. Tja, das war mein Tag im Großen und Ganzen.",0.25,0,0,0,1,1,0,0,0
"Ich muss meine Gedanken zu heute einfach mal aufschreiben. also, Ich hatte heute die schleichende halt, Angst, dass mir alles über dem Kopf zusammenbricht. Ich freue mich auf einen Neuanfang morgen.",-0.94,0,0,0,0,0,0,1,0
"So, let's see how to describe today. I was so annoyed by kind of, how unfair everything was at work today. I got so scared when I heard that strange noise in the so basically, house tonight. Just going to try and relax now.",-0.7,0,0,0,0,0,1,1,0
"So, I'm sitting here thinking about today. like, I felt really so basically, lonely today and just couldn't shake off this heavy feeling. Guess I'll just sleep on it.",-0.56,0,1,0,0,0,0,0,0
"Heute war irgendwie eine seltsame Mischung. ähm, Ich bin zufrieden damit, wie die Dinge im Moment laufen, einfach ruhig also, und stabil. Ich muss aufhören zu grübeln und einfach schlafen.",0.75,0,0,1,0,0,0,0,0
"Ich nehme das hier auf, weil heute echt verrückt war. ähm, Ich war so wütend, als ich erfahren habe, dass ich eiskalt angelogen wurde. Ich habe das Gefühl, heute als Person gewachsen zu sein, und bin also, stolz auf mich. Ich hoffe einfach, dass alles gut ausgeht.",0.15,0,0,0,1,0,1,0,0
"Well, today happened. um, Today was one of those days where everything um, feels beautiful and light. Someone completely ignored like, my boundaries today and it made me so mad. That's all for today, I guess.",0.25,1,0,0,0,0,1,0,0
"So, I'm sitting here thinking about today. so basically, I so basically, met some new people today and we hit it off immediately, it was great. I felt extremely self-conscious today, worrying about you know, what everyone thought of me. Glad I got that off my chest.",0.11,1,0,0,0,1,0,0,0
"Okay, also so lief mein Tag heute ab. sozusagen, Ich habe heute etwas Zeit mit absolutem Nichtstun verbracht ähm, und es war perfekt. Ich wollte heute vor lauter Frust einfach nur noch laut gegen die also, Wand schreien. Ich schlafe jetzt wohl am besten mal drüber.",0.12,0,0,1,0,0,1,0,0
"Whew, what a day. you know, I feel so fragile and afraid like, of getting hurt again. I felt ignored by the people I care about so basically, today, it really hurt. Anyway, that's my update.",-0.61,0,1,0,0,0,0,1,0
"Actually, I need to vent a bit. uh, Today was peaceful, just enjoying the quiet moments without worrying. Anyway, I'm going to bed now.",0.55,0,0,1,0,0,0,0,0
"Honestly, today was quite a ride. so basically, I have this constant knot um, in my stomach about upcoming deadlines. Well, that was my day in a nutshell.",-0.36,0,0,0,0,1,0,0,0
"Eigentlich muss ich einfach mal ein bisschen Dampf ablassen. Ich hatte plötzlich Herzrasen und halt, panische Angst um meine Gesundheit. Ich versuche jetzt einfach, ein bisschen runterzukommen.",-0.55,0,0,0,0,0,0,1,0
"So, let's see how to describe today. you know, I felt envious you know, of how easy their relationship looks from the outside. Going to make myself some tea and unwind.",0.05,0,0,0,0,0,0,0,1
"Okay, so today was... you know, Nothing seemed to like, interest me today, I just felt emotionally drained. Hopefully tomorrow will be a bit better.",-0.59,0,1,0,0,0,0,0,0
"Recording this because today was crazy. like, Everything felt so gray today, I uh, don't even know why I feel this down. I'm just too tired to think about it anymore.",-0.55,0,1,0,0,0,0,0,0
"Whew, what a day. um, The thought um, of losing my job is keeping me up at night, I'm terrified. I just feel this constant, heavy pressure on my chest all like, day long. Signing off for the night.",-0.42,0,0,0,0,1,0,1,0
"Mann, heute war echt einiges los. ähm, Ich habe mich halt, bedroht gefühlt, als jemand anderes die Aufmerksamkeit bekam, die ich wollte. Ich versuche jetzt einfach, ein bisschen runterzukommen.",-0.08,0,0,0,0,0,0,0,1
"Wow, I need to talk about today. you know, I couldn't help but compare my life to theirs and felt jealous uh, of their success. I ended up crying so basically, in the evening because everything just piled up. That's pretty much how it went.",-0.52,0,1,0,0,0,0,0,1
"Not sure how to put today into words, but... I managed to create something beautiful um, today through sheer hard work. It was a quiet day, no drama, just steady progress on um, my own terms. Hoping for a calmer day tomorrow.",0.6,0,0,1,1,0,0,0,0
"Man, today was something else. kind of, The thought um, of losing my job is keeping me up at night, I'm terrified. I need to stop overthinking and just sleep.",-0.98,0,0,0,0,0,0,1,0
"Mann, heute war echt einiges los. äh, Ich habe sozusagen, heute jemanden sehr vermisst und diese Leere war echt schwer zu ertragen. Tja, das war mein Tag im Großen und Ganzen.",-0.6,0,1,0,0,0,0,0,0
"Ich weiß gar nicht genau, wie ich heute in Worte fassen soll, aber... äh, Mein Chef hat meine Leistung heute ähm, vor dem gesamten Team gelobt, das war klasse. Mich hat heute einfach also, alles aufgeregt, selbst die kleinsten Kleinigkeiten. Na ja, das ist jedenfalls mein Update.",-0.06,0,0,0,1,0,1,0,0
"Heute war irgendwie eine seltsame Mischung. halt, Ich habe heute durch harte Arbeit etwas wirklich Gutes auf sozusagen, die Beine gestellt. Tut echt gut, das mal ausgesprochen zu haben.",0.98,0,0,0,1,0,0,0,0
"Eigentlich muss ich einfach mal ein bisschen Dampf ablassen. ähm, Ich bin heute meinen Werten treu geblieben, auch wenn es nicht der leichteste also, Weg war. Ich hoffe auf einen ruhigeren Tag morgen.",0.82,0,0,0,1,0,0,0,0
"Also, heute war... halt, Ich habe heute neue Leute kennengelernt und wir haben uns auf Anhieb verstanden. Ich bin echt froh, dass dieser Tag vorbei ist.",0.7,1,0,0,0,0,0,0,0
"Boah, ich muss mir heute mal was von der Seele reden. irgendwie, Ich habe heute etwas Zeit mit halt, absolutem Nichtstun verbracht und es war perfekt. Zeit, den Kopf für heute auszuschalten.",0.64,0,0,1,0,0,0,0,0
"Also, heute war... also, Heute war einer dieser Tage, halt, an denen sich alles leicht und schön anfühlt. Morgen ist zum Glück ein neuer Tag.",0.69,1,0,0,0,0,0,0,0
"Actually, I need to vent a bit. um, I kept imagining uh, the worst-case scenarios for my upcoming exams. Hoping for a calmer day tomorrow.",-0.55,0,0,0,0,1,0,0,0
"Hey diary, just checking in. like, I felt this creeping fear you know, today that everything is going to fall apart. I felt envious of like, how easy their relationship looks from the outside. I hope things turn out okay.",-0.53,0,0,0,0,0,0,1,1
"Okay, so here's how today went. I stayed disciplined and stuck to my routine even when I uh, wanted to quit. Signing off for the night.",0.77,0,0,0,1,0,0,0,0
"Liebes Tagebuch, ich bin's wieder. ähm, Die Luft wurde mir heute fast zu knapp, weil der Druck einfach zu groß war. Das war mein Tag, ich bin raus für heute.",-0.33,0,0,0,0,1,0,0,0
"Not sure how to put today into words, but... uh, I couldn't help but compare my life to theirs and felt jealous of their success. I got a surprise gift today and it completely made like, my week. We'll see how things look in the morning.",0.21,1,0,0,0,0,0,0,1
"I need to get today's thoughts down. um, I felt this you know, wave of frustration and just wanted to scream. Just going to try and relax now.",-0.63,0,0,0,0,0,1,0,0
"I need to get today's thoughts down. you know, The workload is piling up and I just feel paralyzed by the stress. Well, that was my day in a nutshell.",-0.47,0,0,0,0,1,0,0,0
"So, I'm sitting here thinking about today. like, I felt physically threatened and you know, unsafe today, it was terrifying. I hope things turn out okay.",-0.57,0,0,0,0,0,0,1,0
"Wow, I need to talk about today. you know, I met some new people today and we like, hit it off immediately, it was great. I'm glad today is finally over.",0.69,1,0,0,0,0,0,0,0
"Alright, diary, here's the scoop. so basically, The thought of losing my job is keeping me up you know, at night, I'm terrified. I struggled with feelings uh, of inadequacy and envy all day long today. Hopefully tomorrow will be a bit better.",-0.28,0,0,0,0,0,0,1,1
"Alright, diary, here's the scoop. you know, I struggled with jealousy today because like, my friend got the opportunity I wanted. Hoping for a calmer day tomorrow.",-0.01,0,0,0,0,0,0,0,1
"Eigentlich muss ich einfach mal ein bisschen Dampf ablassen. also, Der Gedanke ans Scheitern macht mir so viel Angst, dass ich am liebsten ähm, aufgeben würde. So lief das heute jedenfalls ab.",-0.89,0,0,0,0,0,0,1,0
"Eigentlich muss ich einfach mal ein bisschen Dampf ablassen. irgendwie, Das Wetter war sozusagen, perfekt und ich hatte einfach diese tiefe Freude in mir. Ich habe mir heute ähm, wieder Sorgen um die Zukunft gemacht und war total unruhig. Morgen ist zum Glück ein neuer Tag.",0.27,1,0,0,0,1,0,0,0
"Actually, I need to vent a bit. like, Today was just a solid, balanced day where everything um, went smoothly. I received some disappointing you know, news and it made me feel really low. I need to stop overthinking and just sleep.",-0.19,0,1,1,0,0,0,0,0
"Mann, heute war echt einiges los. halt, Ich musste mich heute zwingen zu lächeln, das halt, war unglaublich anstrengend. Ich hoffe einfach, dass alles gut ausgeht.",-0.53,0,1,0,0,0,0,0,0
"Ich muss meine Gedanken zu heute einfach mal aufschreiben. irgendwie, Heute war ein einfacher, aber guter Tag. Ich habe meinen Haushalt gemacht und irgendwie, einen ruhigen Abend genossen. Ich muss aufhören zu grübeln und einfach schlafen.",0.78,0,0,1,0,0,0,0,0
"Ich weiß gar nicht genau, wie ich heute in Worte fassen soll, aber... sozusagen, Ich hatte einen Moment der Panik, als ich halt, dachte, ich hätte meinen Geldbeutel verloren. Mal sehen, wie die Welt morgen früh aussieht.",-0.64,0,0,0,0,0,0,1,0
"Well, today happened. I was too afraid to speak up in the meeting today, I just froze. We'll see how things look in the morning.",-0.51,0,0,0,0,0,0,1,0
"Mal schauen, wie ich heute am besten beschreibe. sozusagen, Ich habe heute sozusagen, etwas geschafft, von dem ich dachte, dass ich es niemals könnte. Ich hatte heute im Meeting zu große Angst, den irgendwie, Mund aufzumachen, ich war wie erstarrt. Zeit, den Kopf für heute auszuschalten.",-0.14,0,0,0,1,0,0,1,0
"Whew, what a day. like, Today you know, was just a solid, balanced day where everything went smoothly. Well, that was my day in a nutshell.",0.59,0,0,1,0,0,0,0,0
"Honestly, today was quite a ride. so basically, I struggled with feelings of inadequacy and envy all day long today. I listened to my uh, favorite album on the way home and felt so uplifted. I need to stop overthinking and just sleep.",0.25,1,0,0,0,0,0,0,1
"Alles klar, Tagebuch, hier ist das Update. halt, Ich bin zufrieden also, damit, wie die Dinge im Moment laufen, einfach ruhig und stabil. Ich habe heute ein kleines Überraschungsgeschenk bekommen, das hat äh, mir die Woche gerettet. Ich versuche jetzt einfach, ein bisschen runterzukommen.",0.84,1,0,1,0,0,0,0,0
"Ich sitze hier gerade und denke über heute nach. sozusagen, Heute war einfach voller positiver Energie also, und rundum guter Laune. Das war's dann wohl für heute.",0.76,1,0,0,0,0,0,0,0
"Okay, also so lief mein Tag heute ab. irgendwie, Ich bin gerade einfach nur dankbar und glücklich für die ähm, tollen Menschen in meinem Leben. Ich schlafe jetzt wohl am besten mal drüber.",0.64,1,0,0,0,0,0,0,0
"Hey diary, just checking in. kind of, I felt envious of how easy their relationship looks from you know, the outside. Just going to try and relax now.",0.01,0,0,0,0,0,0,0,1
"Wow, I need to talk about today. I feel so overwhelmed by all the um, things I have to do, it's stressing me out. The thought of losing my job is keeping me you know, up at night, I'm terrified. Looking forward to a fresh start tomorrow.",-0.49,0,0,0,0,1,0,1,0
"Hallo Tagebuch, kurzes Update von mir. also, Ich habe endlich dieses schwierige Projekt auf der Arbeit fertiggestellt und es ähm, ist super geworden. Ich fühle sozusagen, mich, als stecke ich in einem Loch fest und finde den Ausgang nicht. Morgen ist zum Glück ein neuer Tag.",-0.02,0,1,0,1,0,0,0,0
"Heute war irgendwie eine seltsame Mischung. sozusagen, Es ist schön, sich einfach zurückzulehnen und das Gefühl zu ähm, haben, alles im Griff zu haben. Ich habe heute tolles Feedback für meine Arbeit bekommen, das war also, sehr bestätigend. Ich hoffe einfach, dass alles gut ausgeht.",0.65,0,0,1,1,0,0,0,0
"Okay, so here's how today went. I got jealous when I saw how easily uh, things come to other people. Looking forward to a fresh start tomorrow.",0.04,0,0,0,0,0,0,0,1
"Na ja, heute ist einiges passiert. also, Ich war heute so wütend auf mich selbst, ähm, weil ich denselben Fehler wieder gemacht habe. Zeit, den Kopf für heute auszuschalten.",-0.69,0,0,0,0,0,1,0,0
"So, let's see how to describe today. you know, I found myself so basically, wishing I had their life today, which made me feel awful. I felt a sudden burst of optimism today, uh, things are looking up. Anyway, I'm going to bed now.",0.27,1,0,0,0,0,0,0,1
"Heute war irgendwie eine seltsame Mischung. halt, Ich habe auf dem Heimweg meine Lieblingsmusik gehört und mich einfach super gefühlt. Das war's dann wohl für heute.",0.61,1,0,0,0,0,0,0,0
"Ich sitze hier gerade und denke über heute nach. also, Ich bin zufrieden damit, wie die irgendwie, Dinge im Moment laufen, einfach ruhig und stabil. Nichts konnte ähm, mich heute begeistern, ich habe mich einfach leer und ausgelaugt gefühlt. Hoffentlich wird morgen ein bisschen besser.",-0.22,0,1,1,0,0,0,0,0
"Na ja, heute ist einiges passiert. halt, Ich habe heute Nacht ein seltsames Geräusch im Haus gehört und hatte totale Angst. Ich habe gesehen, was meine Freunde erreichen, und habe diese bittere Eifersucht halt, in mir gespürt. Das war's dann wohl für heute.",-0.43,0,0,0,0,0,0,1,1
"Okay, so today was... you know, I had a so basically, peaceful day, finished my tasks, and relaxed with a good book. I met some new people today and we hit kind of, it off immediately, it was great. Just going to try and relax now.",0.86,1,0,1,0,0,0,0,0
"So, let's see how to describe today. you know, I felt like a disappointment to myself and everyone around me. I hate how much I compare myself to kind of, people on social media, it makes me so envious. I need to stop overthinking and just sleep.",-0.64,0,1,0,0,0,0,0,1
"Ehrlich gesagt war heute ein ganz schöner Ritt. sozusagen, Nichts konnte mich heute begeistern, ich habe mich einfach äh, leer und ausgelaugt gefühlt. Das war mein Tag, ich bin raus für heute.",-0.52,0,1,0,0,0,0,0,0
"Okay, so today was... um, I felt so much kind of, love and support from my family today, it was wonderful. Guess I'll just sleep on it.",0.91,1,0,0,0,0,0,0,0
"Okay, so here's how today went. kind of, I got a sudden uh, scare when a car almost hit me on the crossing. I'm just too tired to think about it anymore.",-0.77,0,0,0,0,0,0,1,0
"Today was a weird mix of things. uh, I felt like a disappointment to myself and uh, everyone around me. That's all for today, I guess.",-0.98,0,1,0,0,0,0,0,0
"Man, today was something else. um, I hit a like, personal milestone today and I'm really proud of how far I've come. Today was a simple but good day, I did my chores and enjoyed a quiet evening. Signing off for the night.",0.73,0,0,1,1,0,0,0,0
"Well, today happened. so basically, I had to um, bite my tongue to keep from yelling at someone today. I felt a deep sense of dread um, today about where my life is heading. Well, that was my day in a nutshell.",-0.63,0,0,0,0,0,1,1,0
"Not sure how to put today into words, but... so basically, I felt scared of the consequences of my kind of, actions today. I hit a personal milestone today and I'm so basically, really proud of how far I've come. That's all for today, I guess.",0.06,0,0,0,1,0,0,1,0
"Actually, I need to vent a bit. so basically, I took care of some boring tasks you know, today, and I'm glad they are finally done. The like, traffic and delays today were enough to make me lose my mind. That's all for today, I guess.",0.06,0,0,1,0,0,1,0,0
"Heute war irgendwie eine seltsame Mischung. sozusagen, Ich habe heute einen richtigen Motivationsschub ähm, bekommen, es geht bergauf. Ich fühle mich gerade so irgendwie, verletzlich und habe Angst, wieder enttäuscht zu werden. Hoffentlich wird morgen ein bisschen besser.",-0.07,1,0,0,0,0,0,1,0
"Today was a weird mix of things. uh, I kept worrying about the future today and felt kind of, really restless. Anyway, I'm going to bed now.",-0.57,0,0,0,0,1,0,0,0
"Ich muss meine Gedanken zu heute einfach mal aufschreiben. also, Ich habe heute richtig gute Nachrichten bekommen, das hat mir ein breites sozusagen, Lächeln ins Gesicht gezaubert. Hoffentlich wird morgen ein bisschen besser.",0.87,1,0,0,0,0,0,0,0
"So, let's see how to describe today. um, My energy was completely flat today, I just felt a deep sadness. Signing off for the night.",-0.81,0,1,0,0,0,0,0,0
"Mal schauen, wie ich heute am besten beschreibe. äh, Ich empfinde gerade einfach nur Bitterkeit und Wut über diese ungerechte Situation. Ich hoffe einfach, dass alles gut ausgeht.",-0.54,0,0,0,0,0,1,0,0
"Ich sitze hier gerade und denke über heute nach. Mein Chef hat meine Leistung heute vor dem gesamten ähm, Team gelobt, das war klasse. Ich war so genervt davon, wie ungerecht heute alles im irgendwie, Büro abgelaufen ist. Ich bin einfach zu müde, um weiter darüber nachzudenken.",0.08,0,0,0,1,0,1,0,0
"So, let's see how to describe today. so basically, Today uh, was a constant reminder of things that aren't working out in my life. Everything went so smoothly today, I just so basically, feel genuinely happy. Signing off for the night.",-0.06,1,1,0,0,0,0,0,0
"I just need to record this real quick. uh, It you know, was a really quiet and depressing day, I just wanted to cry. I'm just too tired to think about it anymore.",-0.61,0,1,0,0,0,0,0,0
